freq	S(3,3)	S(3,4)	S(4,3)	S(4,4)
1.43000000000000020E10	-3.144805164	-7.142454521	-2.807682806	-5.99819501
1.43999999999999990E10	-3.148111996	-7.140987995	-2.844359778	-6.001683553
1.45000000000000000E10	-3.151280952	-7.139665975	-2.880722187	-6.004870557
1.46000000000000000E10	-3.154314681	-7.138485405	-2.91677394	-6.007761557
1.47000000000000000E10	-3.157215778	-7.137443316	-2.952518904	-6.010362013
1.48000000000000000E10	-3.159986782	-7.136536829	-2.987960903	-6.012677304
1.49000000000000000E10	-3.162630183	-7.135763148	-3.023103718	-6.014712735
1.50000000000000000E10	-3.165148417	-7.135119558	-3.057951089	-6.016473532
1.51000000000000000E10	-3.16754387	-7.134603422	-3.092506715	-6.017964845
1.52000000000000000E10	-3.169818879	-7.134212177	-3.12677425	-6.019191748
1.53000000000000000E10	-3.171975734	-7.133943335	-3.16075731	-6.020159243
1.54000000000000000E10	-3.174016677	-7.133794477	-3.194459466	-6.020872252
1.55000000000000000E10	-3.175943905	-7.133763251	-3.227884251	-6.02133563
1.56000000000000010E10	-3.17775957	-7.133847371	-3.261035154	-6.021554153
1.56999999999999980E10	-3.179465781	-7.134044615	-3.293915624	-6.021532529
1.58000000000000010E10	-3.181064601	-7.134352819	-3.32652907	-6.021275392
1.59000000000000010E10	-3.182558056	-7.134769882	-3.358878858	-6.020787307
1.60000000000000010E10	-3.183948128	-7.135293757	-3.390968316	-6.020072766
1.61000000000000010E10	-3.185236761	-7.135922452	-3.422800731	-6.019136196
1.61999999999999990E10	-3.186425857	-7.136654029	-3.45437935	-6.017981951
1.63000000000000010E10	-3.187517284	-7.137486601	-3.485707381	-6.016614321
1.63999999999999990E10	-3.188512869	-7.138418332	-3.516787991	-6.015037525
1.64999999999999990E10	-3.189414407	-7.139447431	-3.547624309	-6.013255719
1.66000000000000010E10	-3.190223652	-7.140572155	-3.578219428	-6.011272992
1.66999999999999990E10	-3.190942329	-7.141790808	-3.608576398	-6.009093369
1.68000000000000020E10	-3.191572124	-7.143101734	-3.638698233	-6.00672081
1.68999999999999990E10	-3.192114694	-7.14450332	-3.66858791	-6.004159213
1.70000000000000000E10	-3.19257166	-7.145993995	-3.698248368	-6.001412412
1.71000000000000020E10	-3.192944615	-7.147572227	-3.727682509	-5.998484181
1.72000000000000000E10	-3.193235119	-7.149236521	-3.756893197	-5.995378233
1.73000000000000000E10	-3.193444701	-7.15098542	-3.785883261	-5.992098221
1.73999999999999980E10	-3.193574862	-7.152817502	-3.814655494	-5.988647737
1.75000000000000000E10	-3.193627074	-7.154731379	-3.843212652	-5.985030317
1.76000000000000020E10	-3.193602779	-7.1567257	-3.871557458	-5.981249437
1.77000000000000000E10	-3.193503395	-7.158799142	-3.899692597	-5.977308519
1.78000000000000000E10	-3.193330309	-7.160950416	-3.927620721	-5.973210926
1.78999999999999980E10	-3.193084884	-7.163178263	-3.955344448	-5.968959968
1.80000000000000000E10	-3.192768457	-7.165481454	-3.982866362	-5.964558898
1.81000000000000010E10	-3.19238234	-7.167858789	-4.010189012	-5.960010916
1.81999999999999980E10	-3.191927818	-7.170309094	-4.037314916	-5.955319171
1.83000000000000010E10	-3.191406156	-7.172831223	-4.064246557	-5.950486757
1.83999999999999990E10	-3.190818592	-7.175424057	-4.090986386	-5.945516717
1.85000000000000010E10	-3.190166342	-7.178086502	-4.117536824	-5.940412045
1.86000000000000010E10	-3.1894506	-7.180817488	-4.143900257	-5.935175681
1.86999999999999990E10	-3.188672538	-7.183615969	-4.170079042	-5.92981052
1.88000000000000010E10	-3.187833306	-7.186480922	-4.196075503	-5.924319406
1.88999999999999990E10	-3.186934032	-7.189411349	-4.221891936	-5.918705134
1.89999999999999990E10	-3.185975826	-7.19240627	-4.247530604	-5.912970455
1.91000000000000010E10	-3.184959775	-7.195464729	-4.272993741	-5.90711807
1.91999999999999990E10	-3.183886947	-7.198585789	-4.298283551	-5.901150636
1.93000000000000020E10	-3.182758393	-7.201768534	-4.323402211	-5.895070765
1.93999999999999990E10	-3.181575142	-7.205012068	-4.348351864	-5.888881025
1.95000000000000000E10	-3.180338205	-7.208315512	-4.373134631	-5.882583937
1.96000000000000020E10	-3.179048578	-7.211678007	-4.397752598	-5.876181982
1.97000000000000000E10	-3.177707235	-7.215098712	-4.422207829	-5.869677599
1.98000000000000000E10	-3.176315135	-7.218576801	-4.446502357	-5.863073181
1.98999999999999980E10	-3.17487322	-7.222111468	-4.470638188	-5.856371085
2.00000000000000000E10	-3.173382415	-7.225701922	-4.494617303	-5.849573623
2.01000000000000020E10	-3.171843628	-7.229347387	-4.518441654	-5.84268307
2.02000000000000000E10	-3.170257754	-7.233047104	-4.542113168	-5.835701661
2.03000000000000020E10	-3.168625668	-7.236800328	-4.565633747	-5.828631592
2.04000000000000000E10	-3.166948233	-7.24060633	-4.589005266	-5.821475019
2.04999999999999980E10	-3.165226295	-7.244464394	-4.612229575	-5.814234065
2.06000000000000010E10	-3.163460688	-7.248373818	-4.635308499	-5.806910812
2.06999999999999980E10	-3.16165223	-7.252333914	-4.65824384	-5.799507308
2.08000000000000010E10	-3.159801723	-7.256344007	-4.681037374	-5.792025563
2.08999999999999990E10	-3.15790996	-7.260403435	-4.703690852	-5.784467555
2.10000000000000010E10	-3.155977715	-7.264511548	-4.726206005	-5.776835224
2.11000000000000030E10	-3.154005754	-7.268667709	-4.748584537	-5.769130478
2.12000000000000010E10	-3.151994826	-7.272871291	-4.770828131	-5.761355192
2.12999999999999990E10	-3.14994567	-7.277121682	-4.792938446	-5.753511205
2.13999999999999970E10	-3.14785901	-7.281418277	-4.814917119	-5.745600327
2.14999999999999990E10	-3.145735561	-7.285760485	-4.836765766	-5.737624335
2.16000000000000010E10	-3.143576024	-7.290147723	-4.858485979	-5.729584973
2.16999999999999990E10	-3.141381088	-7.294579422	-4.88007933	-5.721483955
2.18000000000000020E10	-3.139151431	-7.29905502	-4.901547369	-5.713322966
2.18999999999999990E10	-3.136887721	-7.303573966	-4.922891625	-5.70510366
2.20000000000000020E10	-3.134590613	-7.308135719	-4.944113607	-5.69682766
2.21000000000000000E10	-3.132260752	-7.312739746	-4.965214802	-5.688496562
2.21999999999999980E10	-3.129898774	-7.317385525	-4.986196679	-5.680111934
2.23000000000000000E10	-3.127505301	-7.322072541	-5.007060684	-5.671675315
2.23999999999999980E10	-3.125080948	-7.32680029	-5.027808246	-5.663188215
2.25000000000000000E10	-3.122626318	-7.331568274	-5.048440775	-5.65465212
2.26000000000000020E10	-3.120142006	-7.336376004	-5.068959658	-5.646068486
2.27000000000000000E10	-3.117628596	-7.341223001	-5.089366267	-5.637438746
2.28000000000000020E10	-3.115086663	-7.346108792	-5.109661955	-5.628764305
2.29000000000000000E10	-3.112516772	-7.351032911	-5.129848054	-5.620046544
2.29999999999999980E10	-3.10991948	-7.355994901	-5.14992588	-5.611286817
2.31000000000000010E10	-3.107295335	-7.360994312	-5.169896732	-5.602486456
2.31999999999999980E10	-3.104644876	-7.366030701	-5.189761888	-5.593646768
2.33000000000000010E10	-3.101968632	-7.371103632	-5.209522611	-5.584769034
2.33999999999999990E10	-3.099267126	-7.376212677	-5.229180147	-5.575854516
2.35000000000000010E10	-3.09654087	-7.381357411	-5.248735724	-5.56690445
2.36000000000000030E10	-3.093790371	-7.38653742	-5.268190555	-5.55792005
2.37000000000000010E10	-3.091016126	-7.391752295	-5.287545834	-5.548902507
2.37999999999999990E10	-3.088218623	-7.39700163	-5.30680274	-5.539852992
2.38999999999999970E10	-3.085398346	-7.40228503	-5.325962436	-5.530772655
2.39999999999999990E10	-3.082555768	-7.407602102	-5.34502607	-5.521662621
2.41000000000000010E10	-3.079691355	-7.412952462	-5.363994773	-5.512523999
2.41999999999999990E10	-3.076805568	-7.418335728	-5.382869662	-5.503357874
2.43000000000000020E10	-3.073898859	-7.423751528	-5.401651837	-5.494165314
2.43999999999999990E10	-3.070971673	-7.429199492	-5.420342384	-5.484947364
2.45000000000000020E10	-3.068024447	-7.434679256	-5.438942374	-5.475705052
2.46000000000000000E10	-3.065057615	-7.440190462	-5.457452866	-5.466439387
2.46999999999999980E10	-3.0620716	-7.445732756	-5.4758749	-5.457151357
2.48000000000000000E10	-3.059066821	-7.45130579	-5.494209505	-5.447841934
2.48999999999999980E10	-3.056043689	-7.456909221	-5.512457695	-5.438512071
2.50000000000000000E10	-3.053002611	-7.46254271	-5.530620471	-5.429162703
2.51000000000000020E10	-3.049943985	-7.468205922	-5.54869882	-5.419794748
2.52000000000000000E10	-3.046868204	-7.473898528	-5.566693715	-5.410409106
2.53000000000000020E10	-3.043775656	-7.479620203	-5.584606116	-5.40100666
2.54000000000000000E10	-3.040666721	-7.485370627	-5.602436972	-5.391588278
2.54999999999999980E10	-3.037541775	-7.491149482	-5.620187215	-5.38215481
2.56000000000000010E10	-3.034401187	-7.496956456	-5.637857768	-5.372707091
2.56999999999999980E10	-3.031245322	-7.502791242	-5.655449541	-5.363245938
2.58000000000000010E10	-3.028074537	-7.508653534	-5.67296343	-5.353772156
2.58999999999999990E10	-3.024889187	-7.514543034	-5.690400319	-5.344286531
2.60000000000000010E10	-3.021689617	-7.520459443	-5.707761083	-5.334789838
2.61000000000000030E10	-3.018476171	-7.526402471	-5.725046581	-5.325282833
2.62000000000000010E10	-3.015249186	-7.532371827	-5.742257663	-5.31576626
2.62999999999999990E10	-3.012008994	-7.538367227	-5.759395167	-5.306240849
2.63999999999999970E10	-3.008755921	-7.544388389	-5.776459919	-5.296707315
2.64999999999999990E10	-3.00549029	-7.550435034	-5.793452736	-5.287166359
2.66000000000000010E10	-3.002212419	-7.556506889	-5.81037442	-5.277618669
2.66999999999999990E10	-2.998922619	-7.56260368	-5.827225765	-5.26806492
2.68000000000000020E10	-2.995621199	-7.568725141	-5.844007555	-5.258505773
2.68999999999999990E10	-2.992308461	-7.574871007	-5.860720562	-5.248941876
2.70000000000000020E10	-2.988984704	-7.581041014	-5.877365546	-5.239373866
2.71000000000000000E10	-2.985650222	-7.587234906	-5.89394326	-5.229802367
2.71999999999999980E10	-2.982305306	-7.593452426	-5.910454445	-5.220227989
2.73000000000000000E10	-2.978950239	-7.599693321	-5.926899832	-5.210651332
2.73999999999999980E10	-2.975585304	-7.605957343	-5.943280142	-5.201072982
2.75000000000000000E10	-2.972210777	-7.612244243	-5.959596088	-5.191493517
2.76000000000000020E10	-2.968826931	-7.618553779	-5.975848372	-5.181913501
2.77000000000000000E10	-2.965434034	-7.624885708	-5.992037686	-5.172333486
2.78000000000000020E10	-2.962032352	-7.631239793	-6.008164714	-5.162754015
2.79000000000000000E10	-2.958622144	-7.637615798	-6.02423013	-5.15317562
2.79999999999999980E10	-2.955203668	-7.644013488	-6.0402346	-5.14359882
2.81000000000000010E10	-2.951777177	-7.650432635	-6.056178778	-5.134024127
2.81999999999999980E10	-2.948342919	-7.65687301	-6.072063314	-5.12445204
2.83000000000000010E10	-2.944901141	-7.663334386	-6.087888845	-5.114883048
2.83999999999999990E10	-2.941452084	-7.669816542	-6.103656001	-5.105317633
2.85000000000000010E10	-2.937995986	-7.676319256	-6.119365405	-5.095756264
2.86000000000000030E10	-2.934533082	-7.68284231	-6.13501767	-5.086199401
2.87000000000000010E10	-2.931063603	-7.689385488	-6.150613401	-5.076647496
2.87999999999999990E10	-2.927587777	-7.695948577	-6.166153195	-5.067100991
2.88999999999999970E10	-2.924105828	-7.702531364	-6.181637641	-5.057560318
2.89999999999999990E10	-2.920617977	-7.709133641	-6.197067321	-5.0480259
2.91000000000000010E10	-2.917124442	-7.7157552	-6.212442807	-5.038498154
2.91999999999999990E10	-2.913625437	-7.722395836	-6.227764666	-5.028977485
2.93000000000000020E10	-2.910121174	-7.729055347	-6.243033455	-5.01946429
2.93999999999999990E10	-2.90661186	-7.735733532	-6.258249726	-5.00995896
2.95000000000000020E10	-2.903097701	-7.742430192	-6.273414022	-5.000461875
2.96000000000000000E10	-2.899578897	-7.74914513	-6.288526879	-4.990973409
2.96999999999999980E10	-2.89605565	-7.755878152	-6.303588826	-4.981493927
2.98000000000000000E10	-2.892528153	-7.762629064	-6.318600385	-4.972023786
2.98999999999999980E10	-2.888996601	-7.769397676	-6.333562072	-4.962563336
3.00000000000000000E10	-2.885461183	-7.776183798	-6.348474394	-4.95311292
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
